               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.029783,            0.010615,           0.0011914,             0.49421,             0.80339,             0.47703,             0.29484,            0.022089,            0.012943,           0.0010676,            0.007591,            0.007591,            0.007591
                  75,            0.029962,            0.011184,           0.0014127,             0.49167,             0.78359,             0.47804,             0.29767,            0.022111,            0.013146,            0.001135,            0.007558,            0.007558,            0.007558
                  76,            0.028318,             0.01076,           0.0013338,             0.50627,             0.77818,             0.47875,             0.29832,            0.022342,            0.012988,           0.0011565,            0.007525,            0.007525,            0.007525
                  77,            0.026735,            0.010541,           0.0011525,             0.50011,             0.78598,             0.47275,             0.29493,            0.021757,            0.012938,           0.0010413,            0.007492,            0.007492,            0.007492
                  78,            0.028034,            0.010743,           0.0012697,             0.51588,             0.77444,              0.4778,             0.29577,            0.021423,            0.012907,           0.0010656,            0.007459,            0.007459,            0.007459
                  79,            0.028185,            0.011107,              0.0013,             0.49163,             0.78143,             0.46807,             0.29383,            0.021729,            0.013096,           0.0010958,            0.007426,            0.007426,            0.007426
                  80,            0.026913,            0.010703,           0.0011791,             0.51551,             0.75366,             0.47393,             0.29602,            0.020454,            0.013015,           0.0010725,            0.007393,            0.007393,            0.007393
                  81,            0.028434,             0.01083,           0.0014091,             0.48917,             0.80693,             0.47807,             0.30673,            0.020485,            0.012948,           0.0011353,             0.00736,             0.00736,             0.00736
                  82,            0.028567,            0.010902,           0.0011779,             0.48381,             0.80686,             0.47324,              0.2945,            0.021934,            0.013111,           0.0011273,            0.007327,            0.007327,            0.007327
                  83,            0.028477,             0.01063,           0.0012163,             0.48999,             0.79148,             0.48375,             0.30505,            0.021104,            0.013092,            0.001184,            0.007294,            0.007294,            0.007294
                  84,            0.027882,            0.010774,           0.0012525,             0.50268,             0.80418,             0.47733,             0.30808,            0.021353,            0.013029,           0.0011009,            0.007261,            0.007261,            0.007261
                  85,            0.027632,            0.010826,           0.0013064,             0.48329,             0.83274,              0.4743,             0.29403,            0.021597,            0.013203,           0.0010919,            0.007228,            0.007228,            0.007228
                  86,            0.028086,            0.010765,           0.0011895,             0.49974,             0.78365,             0.47579,              0.3029,            0.021756,            0.012998,           0.0010751,            0.007195,            0.007195,            0.007195
                  87,            0.027907,            0.011084,           0.0012139,             0.49353,             0.84701,             0.48308,             0.30488,            0.020569,            0.013155,           0.0011155,            0.007162,            0.007162,            0.007162
                  88,            0.026999,            0.010917,            0.001323,             0.49181,             0.79796,             0.47442,             0.29713,            0.020398,            0.013282,           0.0010276,            0.007129,            0.007129,            0.007129
                  89,            0.027335,            0.011161,           0.0012478,             0.49541,             0.80339,             0.48853,             0.30425,            0.021355,            0.012871,            0.001091,            0.007096,            0.007096,            0.007096
                  90,            0.027304,            0.010801,           0.0012245,             0.50628,             0.80333,             0.48152,             0.30528,            0.020258,            0.012943,           0.0011099,            0.007063,            0.007063,            0.007063
                  91,            0.026654,            0.010585,           0.0011837,             0.48224,             0.85263,             0.47717,             0.30372,            0.019802,            0.013159,           0.0011089,             0.00703,             0.00703,             0.00703
                  92,             0.02613,            0.010596,           0.0011911,             0.49031,             0.80213,             0.47226,             0.30426,            0.020653,            0.013157,           0.0010523,            0.006997,            0.006997,            0.006997
                  93,            0.026381,            0.010683,           0.0011235,             0.51133,             0.80984,             0.48495,             0.30856,            0.019734,             0.01316,           0.0010725,            0.006964,            0.006964,            0.006964
                  94,            0.026579,            0.010727,           0.0011942,             0.47613,             0.83608,             0.47382,             0.30224,            0.020451,            0.013095,           0.0010905,            0.006931,            0.006931,            0.006931
                  95,            0.026612,             0.01036,           0.0011893,             0.50279,             0.81901,             0.48756,             0.31275,            0.019967,             0.01292,           0.0010623,            0.006898,            0.006898,            0.006898
                  96,            0.026731,            0.010788,           0.0011151,             0.51617,             0.77566,             0.48599,             0.30859,            0.020458,            0.012962,          0.00099471,            0.006865,            0.006865,            0.006865
                  97,            0.026538,            0.010664,           0.0010643,             0.50768,             0.79727,             0.48396,             0.30858,            0.020286,            0.013151,          0.00099703,            0.006832,            0.006832,            0.006832
                  98,            0.026522,             0.01035,           0.0010547,             0.47467,             0.79905,              0.4717,             0.30573,            0.020687,            0.013333,           0.0010091,            0.006799,            0.006799,            0.006799
